source,destination,holding_time
0,4,2
0,4,2
7,4,3
7,4,45
7,4,6
7,3,2
0,4,10
0,3,2
7,4,5
0,3,2
7,3,2
0,4,3
7,3,28
7,4,2
7,3,2
7,4,15
7,3,6
0,4,42
7,4,27
7,3,2
0,3,18
0,3,10
0,3,2
7,3,2
7,3,3
7,3,2
0,4,5
7,3,2
0,3,4
0,3,2
0,3,2
7,3,2
7,3,3
7,3,2
7,3,2
7,3,3
0,4,38
0,3,2
0,4,2
0,4,11
0,3,2
0,4,4
0,3,2
7,3,2
0,3,5
7,4,5
0,4,4
0,3,53
7,4,2
7,3,2
0,3,2
0,3,3
0,3,2
7,4,3
0,3,2
7,4,2
0,4,6
7,3,2
7,3,3
0,3,2
7,4,2
7,4,2
0,4,4
7,4,2
7,3,2
7,4,35
0,4,4
7,3,33
0,3,2
0,3,2
0,4,2
7,4,2
7,3,3
7,3,3
7,4,2
7,3,2
7,3,2
7,3,2
7,3,5
0,3,3
7,4,4
7,4,4
0,4,5
7,3,7
7,3,16
0,4,15
7,4,14
0,3,2
0,3,2
7,4,10
0,4,2
7,4,2
7,3,2
0,3,2
7,3,2
7,3,5
7,3,4
7,4,3
7,4,2
7,3,1
