source,destination,holding_time
7,4,3
7,3,20
7,3,2
0,4,3
7,3,41
0,4,10
7,3,25
0,4,7
7,4,31
7,4,11
7,4,4
0,3,3
7,3,37
0,3,16
0,4,18
7,4,77
7,4,14
7,4,6
7,4,3
7,3,3
0,3,34
7,4,27
0,4,2
7,4,8
7,3,2
0,3,6
0,3,5
0,4,9
0,3,14
0,4,5
7,4,7
7,3,4
7,4,7
7,4,7
0,4,45
7,3,65
7,4,64
7,4,8
0,3,34
0,4,11
0,3,13
7,4,4
7,4,6
0,3,22
7,4,3
7,4,37
7,4,3
7,4,30
0,4,52
0,4,5
7,4,14
0,3,14
0,3,48
7,4,6
7,3,4
0,3,45
7,3,4
7,3,30
7,3,3
0,4,7
7,4,26
0,4,11
7,3,9
7,4,2
0,4,8
0,4,10
7,4,2
7,4,27
0,4,32
0,3,10
0,3,7
7,3,29
7,4,28
0,4,11
0,3,2
0,4,3
7,3,11
7,3,23
7,4,22
0,3,21
0,3,8
0,4,19
7,4,7
7,4,17
0,3,2
7,4,15
7,3,4
7,4,13
7,3,12
7,4,11
0,4,4
0,3,9
0,4,8
0,4,7
7,3,2
0,3,5
0,3,4
7,3,3
7,3,2
0,3,1
