source,destination,holding_time
7,4,3
0,3,6
7,4,56
7,4,2
7,4,13
7,4,24
7,3,32
7,3,19
0,3,18
7,4,58
7,3,24
7,4,46
0,3,2
0,3,16
7,4,2
7,3,85
7,3,79
7,4,80
0,3,2
7,4,81
0,4,2
7,4,79
0,3,78
7,3,23
7,3,2
0,4,2
7,3,54
7,4,33
7,4,43
0,3,59
7,4,12
7,4,69
7,4,67
0,3,15
0,3,2
7,4,20
0,4,5
0,3,24
7,4,21
0,4,8
7,4,3
0,3,17
0,4,32
7,4,8
0,4,56
0,4,55
7,4,54
0,3,53
0,4,52
0,3,4
7,4,2
7,4,2
7,3,28
7,3,16
7,3,34
7,3,6
0,3,44
7,3,43
7,4,7
7,3,31
0,4,40
0,3,39
7,3,38
0,3,21
0,3,36
0,4,35
0,3,34
0,3,7
7,4,19
0,4,10
7,3,20
7,4,11
7,4,25
7,4,27
7,4,26
0,3,25
7,3,24
0,3,6
0,3,21
7,4,21
0,4,18
0,3,19
0,3,8
0,4,17
0,3,16
0,4,15
7,3,14
0,4,13
0,4,12
7,4,11
7,3,10
7,3,9
7,3,8
0,4,7
0,4,5
0,3,5
0,3,4
0,3,3
0,4,2
7,4,1
