source,destination,holding_time
0,4,10
0,4,2
0,3,2
0,3,2
0,3,2
0,3,4
7,4,6
0,4,3
7,4,2
7,4,12
0,4,3
0,4,29
0,4,2
0,3,2
0,4,7
7,3,3
7,4,7
0,4,4
0,4,31
0,4,2
0,3,27
7,4,4
7,3,3
7,3,4
7,4,7
0,4,5
0,3,40
0,4,10
7,3,2
7,4,3
0,4,3
7,4,2
7,4,5
7,4,2
0,4,3
7,4,2
7,3,2
7,3,2
7,4,19
0,3,33
0,4,2
0,3,59
0,4,2
7,3,2
7,3,14
7,4,2
7,4,2
7,4,5
0,3,2
7,4,24
7,3,8
0,3,3
0,4,2
0,4,2
0,3,6
7,3,3
7,3,31
7,3,2
7,4,3
7,3,6
7,3,12
0,3,2
0,4,2
7,4,2
7,4,2
0,3,2
7,4,2
0,3,2
7,4,2
0,3,3
0,3,2
0,3,3
7,4,22
7,4,12
0,4,26
7,4,2
7,3,2
0,4,23
7,3,22
0,4,5
7,3,2
0,4,8
7,3,18
0,4,7
7,4,2
0,3,9
7,4,14
7,3,2
7,4,9
7,3,2
7,4,2
0,4,2
0,3,2
0,3,7
0,3,6
0,4,5
7,4,4
7,3,3
0,4,2
7,3,1
