source,destination,holding_time
0,4,3
7,4,30
7,4,87
7,3,24
7,4,5
7,3,5
7,4,31
7,4,28
7,3,78
7,4,2
7,3,18
7,4,63
7,3,18
0,4,17
0,4,75
7,4,74
7,3,8
0,3,3
0,3,78
7,3,24
0,4,17
7,4,8
7,3,4
0,4,2
7,3,2
0,3,3
7,4,3
7,4,40
7,4,72
7,3,11
0,4,70
0,4,48
0,3,64
7,3,5
7,4,66
0,4,4
7,4,3
7,3,54
7,3,15
7,4,61
0,4,60
7,3,10
0,4,58
7,4,9
7,3,2
7,4,2
7,3,2
7,4,41
0,4,45
0,3,8
0,4,50
0,3,49
7,3,48
7,3,47
7,4,43
7,3,14
0,3,37
0,3,15
0,3,42
0,3,6
0,3,12
7,4,4
0,4,38
7,3,37
7,3,36
0,4,25
7,3,2
7,3,33
0,3,27
7,4,13
0,4,9
7,3,5
0,4,28
0,3,2
7,3,23
0,3,25
0,3,2
0,4,23
0,4,22
0,4,21
0,3,2
7,4,19
7,4,18
0,3,16
7,4,4
0,4,15
0,4,14
0,3,13
0,4,4
7,4,11
7,3,10
0,4,9
0,4,3
7,4,7
7,4,6
7,3,5
0,3,4
0,3,3
7,4,2
7,4,1
