source,destination,holding_time
7,4,2
0,3,6
7,4,2
7,4,2
0,3,6
0,4,8
0,4,17
7,4,5
0,4,2
0,3,2
0,4,4
0,3,9
0,4,18
0,3,50
7,3,2
0,4,2
7,4,2
0,4,79
7,4,5
0,3,3
7,4,15
0,3,4
0,4,4
7,3,3
7,3,2
7,4,3
7,3,2
7,4,10
7,4,8
7,3,7
7,3,20
0,4,2
0,3,2
0,3,12
7,4,37
7,3,3
7,3,2
0,3,3
7,4,25
0,4,4
0,4,11
0,3,7
7,3,3
0,4,22
7,4,2
0,3,17
7,4,44
0,3,13
0,4,7
0,3,3
7,3,2
0,4,49
0,4,38
7,4,31
0,3,4
0,4,20
0,4,3
7,4,8
7,4,22
0,4,3
0,4,3
7,3,4
7,4,38
0,4,2
0,3,36
7,4,17
7,4,2
7,4,33
0,3,4
7,3,31
0,3,30
7,3,18
0,3,4
0,3,2
7,3,26
0,4,25
0,3,24
7,3,7
7,3,11
7,3,16
7,3,20
0,3,14
0,4,4
0,3,17
0,4,10
0,4,4
7,4,2
7,3,13
0,3,2
7,4,5
0,4,10
0,3,8
0,4,3
0,3,7
7,4,5
0,3,2
7,3,4
7,4,2
0,3,2
0,4,1
