source,destination,holding_time
0,4,3
0,4,2
0,4,19
7,4,80
0,3,89
7,4,2
7,4,5
7,4,5
0,3,21
0,3,19
0,3,20
0,3,3
0,3,3
0,4,68
7,4,2
0,3,85
0,4,4
0,4,9
7,3,2
7,3,24
7,4,9
0,3,7
7,3,2
0,4,5
7,3,6
7,3,21
7,4,5
0,4,7
7,4,10
0,4,52
7,3,24
7,4,2
0,4,2
0,4,43
7,3,6
0,3,41
7,4,2
0,4,2
0,3,4
7,3,5
0,3,60
0,3,2
7,4,5
7,3,3
0,3,3
0,4,44
0,3,14
7,3,53
0,3,25
7,3,5
7,4,20
0,4,4
0,4,22
0,3,3
7,4,2
0,3,3
7,4,34
7,4,6
0,4,8
0,3,2
7,3,33
0,3,30
0,4,38
0,4,5
0,4,2
7,3,16
0,4,3
0,3,33
0,4,3
7,4,3
0,3,2
7,3,22
0,3,28
0,4,2
7,3,26
7,3,25
7,4,7
0,4,23
7,4,4
0,4,3
0,4,10
0,4,18
7,4,16
0,4,17
7,4,16
7,3,4
0,4,14
7,4,2
7,4,10
7,4,2
7,3,5
0,4,3
0,4,4
0,3,2
7,3,6
7,3,5
7,3,4
0,4,3
0,3,2
7,3,1
