source,destination,holding_time
0,4,7
7,4,3
7,3,9
0,4,53
7,4,41
0,4,23
0,4,2
0,3,3
7,3,2
7,3,4
0,4,2
7,4,3
7,4,43
7,4,87
7,4,47
0,3,9
7,4,7
0,3,6
7,3,2
7,4,2
7,3,5
7,3,60
7,3,32
0,3,5
7,4,3
7,3,66
0,3,9
0,3,8
0,3,8
7,4,30
0,4,2
7,4,2
0,4,4
7,3,22
0,4,16
0,4,21
7,4,46
7,3,5
0,4,9
0,4,53
7,4,19
0,3,44
7,3,4
0,3,48
0,3,46
7,4,17
7,3,26
7,3,4
7,3,12
7,4,18
0,3,6
7,4,49
0,4,11
7,4,47
0,3,46
0,3,24
7,4,2
7,4,15
0,4,42
7,4,2
0,4,13
0,3,2
0,4,2
7,3,11
0,4,4
7,3,7
0,4,8
7,3,33
0,3,21
0,3,2
0,3,19
7,4,26
7,3,2
7,4,4
7,3,26
0,3,2
0,4,13
7,4,2
7,3,4
7,3,2
0,3,20
0,4,19
0,3,18
7,4,6
0,4,16
7,3,2
0,3,14
7,3,5
0,3,9
0,3,11
7,3,6
0,3,2
7,3,8
0,4,5
0,3,6
0,3,2
7,3,3
0,3,3
0,4,2
0,4,1
