source,destination,holding_time
0,3,11
0,3,8
7,4,19
7,3,2
0,4,2
7,3,2
0,3,4
7,3,7
7,3,4
0,4,3
0,4,11
7,4,2
7,3,5
0,4,2
7,3,10
0,4,39
0,4,2
0,3,2
0,4,2
7,4,2
7,4,3
0,3,6
0,3,3
0,4,2
0,4,14
0,3,2
0,3,13
0,3,7
7,4,10
7,3,19
7,4,2
7,4,2
7,4,2
0,4,2
0,4,2
7,4,7
0,4,2
0,3,10
0,3,19
0,4,2
0,3,2
0,3,5
7,3,2
7,3,19
0,3,10
0,3,2
7,3,54
7,3,5
7,4,2
0,4,2
0,4,2
0,4,8
0,4,3
0,3,2
0,4,7
0,4,2
7,4,18
7,4,2
7,3,2
7,3,5
0,3,4
0,4,2
0,3,2
0,4,2
7,3,2
0,4,8
7,4,13
0,3,33
0,3,2
0,4,2
0,4,2
0,3,16
7,4,2
0,3,2
0,3,19
0,4,12
0,4,6
0,3,16
7,4,2
7,4,4
7,3,20
0,4,3
0,4,4
7,3,2
0,4,2
7,4,2
0,3,2
0,3,2
0,4,5
7,3,2
7,4,9
0,3,3
7,4,2
7,3,7
7,4,6
7,3,2
7,4,4
0,3,3
0,4,2
0,4,1
