source,destination,holding_time
0,3,4
7,4,8
7,3,3
7,3,8
7,3,5
7,4,26
7,4,2
0,3,35
7,3,2
0,3,2
0,3,11
7,3,5
0,3,2
7,4,10
0,4,4
7,4,2
0,4,7
7,3,2
0,3,2
7,4,4
0,3,38
0,4,2
7,3,4
7,3,4
7,3,2
7,3,2
7,4,2
0,4,2
7,3,5
7,3,19
7,3,2
0,4,4
7,3,3
0,4,7
7,4,19
7,4,2
0,3,2
0,4,6
7,3,2
0,3,2
7,4,3
7,3,2
7,3,58
7,4,2
0,4,3
7,4,29
7,4,18
0,3,3
0,4,14
0,3,21
7,3,2
7,3,2
7,4,2
0,3,5
7,3,3
7,3,2
0,4,5
7,4,5
0,4,2
7,4,2
7,4,2
7,3,17
7,3,2
0,4,37
7,3,3
0,3,3
0,4,2
7,3,2
7,4,9
7,3,2
0,4,2
7,3,3
7,4,2
7,4,4
7,4,2
0,4,2
0,4,2
7,4,6
0,4,2
0,4,2
7,3,3
0,3,4
0,3,2
0,3,2
0,4,2
7,3,2
0,4,3
7,4,13
0,3,2
7,3,3
0,3,2
7,3,5
7,3,4
0,3,7
7,3,2
0,3,5
7,4,2
0,3,3
0,3,2
0,3,1
