source,destination,holding_time
0,3,10
0,3,16
7,3,74
7,4,15
7,4,4
0,4,4
0,4,48
7,4,2
7,3,2
7,4,21
0,4,35
7,3,10
7,4,13
7,3,19
7,3,30
7,4,52
7,3,27
7,4,2
7,4,21
7,3,10
0,4,2
7,3,11
0,3,9
0,3,12
7,4,4
0,4,10
7,3,2
7,3,6
7,4,19
0,4,16
7,3,2
7,3,47
7,3,20
0,4,2
0,4,2
0,3,10
0,4,7
0,4,5
7,4,13
0,4,3
0,3,2
0,4,2
0,3,36
0,3,6
0,3,56
0,3,6
0,3,4
0,4,3
0,4,2
7,3,48
0,3,50
7,3,3
7,4,23
7,3,7
7,4,2
7,4,5
0,4,2
0,4,2
0,4,13
7,4,13
7,4,2
0,3,2
7,4,38
7,3,6
7,4,9
0,3,35
0,4,3
7,4,10
0,3,18
7,4,8
7,3,30
7,4,7
7,4,7
0,3,27
0,3,12
0,4,2
7,4,19
7,3,23
0,3,2
7,4,21
7,3,20
7,3,19
0,4,2
7,4,3
0,4,16
7,3,4
7,4,14
0,4,13
7,4,7
0,4,11
0,4,3
7,4,9
0,3,2
7,3,7
0,4,6
0,3,3
0,3,4
0,3,3
7,4,2
0,4,1
