source,destination,holding_time
0,3,28
0,3,50
0,4,41
0,3,2
7,3,11
7,3,72
0,4,80
0,3,41
7,3,9
0,4,66
0,4,2
7,4,89
7,3,40
7,3,3
0,4,69
0,4,83
7,4,3
0,3,22
7,3,3
0,3,23
7,4,40
0,3,31
0,3,2
0,3,14
7,4,16
0,4,8
0,4,2
7,4,2
7,4,29
0,3,71
7,3,11
0,4,2
0,4,8
7,4,2
0,3,66
0,3,2
0,3,31
7,4,18
0,4,44
0,4,61
7,4,44
7,4,43
0,4,8
0,4,57
7,3,56
7,4,55
7,4,8
7,4,3
7,3,29
7,4,2
0,4,3
7,4,45
0,3,39
0,3,18
7,3,3
0,3,45
7,4,29
0,4,43
0,4,42
0,3,11
7,4,31
7,3,22
7,3,20
0,4,11
7,3,5
7,4,10
0,3,34
7,4,6
0,3,2
0,4,4
0,4,30
7,4,3
0,4,4
7,3,27
0,4,8
7,3,25
7,3,24
7,4,3
0,4,22
0,4,3
0,3,20
0,4,6
7,3,6
0,3,3
0,4,10
7,3,14
7,4,11
7,3,13
7,4,12
7,4,2
0,3,10
7,4,2
7,4,8
7,3,7
0,4,6
7,4,5
7,4,4
0,4,3
7,4,2
7,4,1
