source,destination,holding_time
7,4,3
0,3,2
7,4,2
0,4,2
0,3,2
0,4,4
7,4,2
0,3,2
7,4,2
7,4,11
0,3,4
0,4,3
7,3,2
7,4,2
7,4,3
7,4,2
0,4,84
0,3,2
7,3,12
0,4,13
0,3,3
7,4,4
7,3,2
7,4,15
7,4,2
0,3,2
7,4,4
0,4,4
0,4,4
7,3,3
7,3,5
7,4,3
0,3,3
7,4,11
7,4,2
7,3,3
7,3,5
0,4,2
0,3,2
7,4,2
7,4,5
0,3,2
0,4,2
7,3,3
7,4,2
7,4,9
0,4,4
7,4,2
7,4,9
0,4,2
0,3,24
0,4,3
0,4,11
0,4,3
7,3,2
0,4,2
0,3,2
7,3,2
7,4,4
0,3,3
0,3,2
0,4,10
0,4,2
0,4,2
7,4,9
7,3,2
0,4,12
0,3,2
7,4,6
0,4,4
0,4,2
0,3,2
7,4,3
7,4,2
0,4,5
7,4,8
0,4,24
0,3,2
0,3,4
7,4,3
0,3,2
0,3,5
7,4,9
7,4,2
7,4,5
7,3,5
7,3,2
7,4,11
0,3,5
7,3,10
0,4,10
0,4,5
7,4,2
7,4,2
7,4,2
0,3,5
7,3,2
0,3,2
7,4,2
0,4,1
