source,destination,holding_time
0,4,44
0,4,3
7,4,20
0,4,2
7,3,2
0,3,6
0,3,7
0,4,3
0,4,12
7,3,8
7,4,4
0,3,3
7,4,7
7,3,4
7,3,2
0,4,66
0,3,2
7,4,3
0,3,21
0,3,17
0,4,6
7,4,4
7,4,3
0,3,2
7,3,5
0,4,51
7,4,7
0,3,27
7,3,72
0,3,47
0,4,27
7,4,10
7,4,13
7,3,28
0,3,3
0,3,47
0,4,4
0,3,4
0,4,33
7,4,61
0,3,9
7,4,38
7,3,41
0,4,36
0,4,4
0,4,3
7,3,54
0,4,35
7,4,15
7,3,34
7,3,5
7,4,12
0,3,2
0,4,47
0,3,16
7,4,4
0,4,9
7,4,11
0,3,27
7,4,18
0,4,20
7,3,2
7,3,38
0,4,16
0,4,2
0,3,35
7,4,34
7,3,33
0,3,29
7,3,17
0,4,30
7,4,29
7,4,28
0,4,3
0,3,3
0,3,3
0,3,9
0,4,3
7,3,22
0,4,16
7,4,4
0,4,19
7,4,5
0,4,17
7,4,10
0,4,4
7,3,2
0,4,2
0,4,2
7,4,11
0,4,10
0,3,5
0,3,8
7,4,3
0,4,6
0,3,5
0,4,4
7,4,3
7,4,2
7,4,1
