source,destination,holding_time
0,3,3
7,4,66
7,4,6
7,4,24
0,4,70
0,4,15
7,4,2
7,4,8
7,4,36
0,3,3
0,4,11
0,3,3
7,4,76
7,3,25
7,3,11
7,4,3
0,4,26
7,3,6
7,3,3
0,3,6
7,4,2
0,4,2
7,3,19
7,4,4
0,3,12
0,4,62
0,4,61
7,3,62
0,3,19
0,3,2
7,4,27
0,3,2
7,4,12
0,3,2
7,4,66
7,3,9
0,3,43
0,3,6
7,4,62
7,4,55
7,4,12
0,4,21
7,3,13
0,4,57
7,3,32
7,3,5
7,4,14
7,4,3
0,4,52
7,3,44
0,3,4
7,3,49
7,4,2
0,3,13
0,4,40
7,4,45
7,4,2
0,4,3
7,4,12
7,3,22
0,3,40
0,3,21
0,4,22
0,4,13
7,3,2
0,3,18
7,3,2
0,4,33
7,4,6
7,4,31
0,4,30
7,4,17
7,3,28
7,4,2
7,3,26
7,4,22
7,3,18
7,4,11
0,3,22
7,3,21
7,3,20
0,3,4
0,3,18
0,3,8
0,3,16
0,4,15
0,3,14
0,3,13
7,3,3
7,3,11
7,4,10
0,3,7
0,4,8
7,3,2
0,3,6
0,3,5
7,4,4
7,4,3
0,3,2
7,3,1
