source,destination,holding_time
7,4,2
7,3,7
0,4,34
0,3,3
7,4,2
7,4,2
7,3,4
7,3,2
7,3,5
7,3,7
0,4,3
0,3,2
7,4,3
7,4,2
7,4,5
7,4,2
7,3,22
7,3,2
0,3,2
0,3,10
0,4,2
7,3,2
7,4,13
0,3,31
0,4,2
0,3,4
7,3,2
0,4,3
7,4,2
0,3,5
7,4,2
0,3,2
0,3,2
7,4,18
7,3,5
0,3,19
7,3,2
0,3,2
7,3,2
7,4,2
0,4,2
0,3,5
0,3,2
0,3,19
7,3,2
7,4,2
7,4,5
0,3,3
7,3,2
7,3,10
0,3,3
7,4,49
7,3,10
0,4,5
0,4,2
0,4,6
7,4,2
0,4,2
0,3,5
0,3,10
7,3,3
0,3,2
7,3,6
0,4,2
7,4,6
7,3,3
7,3,2
0,3,2
7,4,2
0,3,2
0,4,2
0,3,3
7,3,2
0,4,8
7,3,2
7,3,2
0,4,2
7,3,17
7,3,3
0,3,16
0,4,17
0,3,3
0,3,2
0,4,5
7,3,5
7,4,2
0,3,4
7,3,13
0,3,3
0,3,5
7,4,10
7,3,9
0,4,2
7,4,2
0,3,4
7,3,2
7,4,4
7,4,2
0,4,2
0,4,1
