source,destination,holding_time
0,4,73
0,3,6
0,4,46
7,3,10
7,3,30
0,3,28
7,4,47
0,4,5
0,4,17
0,3,67
7,3,90
0,4,9
0,4,6
7,3,9
7,3,2
7,3,61
0,3,7
0,4,38
0,3,31
7,4,15
7,4,9
7,3,25
7,4,9
0,3,2
7,3,33
0,4,47
0,4,14
7,4,4
7,3,9
7,4,71
7,3,2
7,3,2
0,3,68
0,3,67
0,3,10
7,4,50
7,3,48
0,4,14
0,3,2
7,3,61
0,4,45
7,3,32
7,4,3
7,3,24
7,3,7
7,4,16
7,3,2
7,3,33
7,3,9
7,4,14
0,4,4
0,3,49
7,4,6
0,3,20
0,4,28
0,3,10
7,4,23
7,4,40
0,3,3
0,4,25
7,3,4
0,3,25
7,4,8
0,3,37
0,3,36
0,3,4
7,3,2
0,4,10
0,4,6
7,3,12
0,3,30
7,4,2
7,3,28
7,4,4
0,3,26
0,4,25
0,3,24
7,3,23
0,4,8
0,4,20
0,4,20
7,3,5
7,3,3
0,3,14
0,3,16
0,3,11
0,3,14
7,3,10
0,3,12
0,3,4
7,4,2
0,4,9
7,3,3
0,3,2
0,4,3
0,3,3
7,3,3
7,3,3
0,4,2
0,3,1
