source,destination,holding_time
7,3,29
7,4,6
0,3,5
7,4,2
7,4,3
0,3,51
7,4,2
7,4,42
7,3,13
7,4,9
0,4,42
7,3,8
0,3,2
0,4,4
0,4,7
0,3,11
7,4,44
7,3,2
7,4,7
0,4,81
0,4,2
0,4,3
0,4,37
7,4,77
0,4,4
0,3,5
7,3,10
0,4,3
0,4,13
0,3,4
7,4,6
0,4,5
0,4,36
7,4,16
7,4,62
7,4,61
7,4,3
0,3,5
7,4,4
0,3,13
0,3,33
7,4,3
0,3,2
7,3,3
0,3,53
0,4,17
7,3,54
7,3,38
0,4,3
0,3,48
0,4,9
0,3,6
0,4,2
0,4,4
0,3,11
7,4,5
0,3,13
7,4,3
7,4,42
0,4,13
0,4,7
7,4,39
7,3,3
7,4,9
7,3,3
7,4,8
7,4,8
7,4,3
0,4,5
0,3,2
7,4,2
7,3,9
7,3,18
0,4,11
0,4,22
7,4,5
0,3,2
0,4,6
0,4,22
0,3,4
7,4,20
7,4,19
7,3,9
0,4,3
0,3,14
7,4,7
0,3,3
0,4,13
0,4,4
7,4,11
0,4,10
0,3,9
7,3,2
0,3,7
7,3,6
7,4,5
7,4,4
0,3,3
7,3,2
0,3,1
