source,destination,holding_time
0,3,2
7,3,2
0,3,2
0,3,3
0,4,2
0,3,2
7,4,94
0,3,2
7,4,2
0,4,3
7,4,3
0,3,14
7,3,4
0,4,2
7,3,6
0,3,2
7,3,2
0,4,3
0,3,2
0,4,63
0,3,2
0,3,3
0,3,2
0,3,17
7,4,3
0,4,2
7,3,21
7,3,2
7,3,2
7,4,2
7,4,3
7,3,2
0,3,4
0,3,48
0,4,2
0,4,2
7,3,2
7,3,2
7,4,4
7,3,2
0,4,7
7,3,2
7,3,3
0,3,3
7,3,2
7,3,4
7,3,4
7,3,2
0,3,7
0,3,2
7,3,50
0,3,31
0,3,2
0,4,2
7,4,32
0,3,2
0,3,17
7,3,7
7,3,5
7,3,4
0,3,4
0,3,23
0,3,23
7,4,33
0,3,21
7,4,4
7,4,3
0,3,5
0,3,2
0,4,5
7,4,2
0,3,29
7,3,2
0,3,7
0,3,11
0,4,25
0,3,16
7,4,4
0,3,2
0,3,8
7,3,2
7,3,2
0,3,2
7,4,6
0,4,2
0,3,2
7,4,14
0,3,2
0,4,2
7,3,2
0,3,2
0,3,2
0,4,3
0,3,2
7,4,6
7,4,2
7,3,2
7,3,3
0,4,2
7,3,1
