source,destination,holding_time
0,4,2
0,3,59
7,4,14
7,4,14
0,4,56
0,3,13
0,4,85
7,3,93
0,3,12
0,3,51
7,4,20
0,4,16
7,3,34
0,3,30
7,3,3
7,4,30
0,3,10
0,4,3
7,3,5
0,3,4
0,3,80
7,3,2
0,4,2
0,4,9
7,3,4
0,3,43
0,4,74
0,4,28
7,3,6
7,3,45
7,4,70
0,3,3
0,3,5
7,4,2
0,4,10
0,4,2
0,3,24
0,3,23
7,3,38
7,4,2
7,4,2
0,4,30
0,4,7
7,3,34
7,4,3
0,4,6
7,4,7
0,4,53
7,4,2
0,3,48
0,3,50
0,4,9
0,3,6
7,3,47
7,3,13
0,3,12
0,4,26
0,3,2
0,4,2
0,4,2
0,3,3
0,4,39
7,4,3
7,4,2
7,4,36
7,4,20
7,3,7
0,4,33
7,4,32
7,4,3
0,4,30
7,3,3
7,4,13
7,4,2
7,4,2
0,4,4
7,3,7
7,3,18
7,4,2
0,3,4
0,3,3
0,3,4
0,3,13
0,3,2
0,3,3
0,3,14
0,4,14
0,4,2
0,3,12
7,4,11
0,3,10
7,4,9
7,3,2
0,3,6
0,4,4
0,3,5
7,3,4
7,4,3
7,3,2
7,4,1
