source,destination,holding_time
7,3,2
0,3,2
0,4,3
7,3,2
7,3,2
7,4,12
0,3,3
7,3,5
7,4,4
0,4,4
7,3,9
0,3,2
0,4,2
0,4,9
7,3,8
0,4,8
7,3,2
7,4,2
0,3,2
0,3,3
7,3,3
7,4,2
7,4,2
7,4,2
7,4,2
7,3,14
0,3,46
7,3,2
7,3,2
7,3,3
0,3,3
0,3,3
0,3,2
0,4,2
7,3,2
0,3,2
0,4,3
7,3,10
7,3,2
0,3,2
7,3,2
0,4,2
0,3,2
0,3,2
0,3,13
0,3,17
7,4,3
0,4,8
0,3,2
0,4,9
0,3,3
7,3,2
0,4,18
7,4,3
0,3,2
0,3,3
7,4,3
0,3,3
0,4,2
7,3,12
0,3,2
7,3,2
7,4,3
0,4,8
0,4,4
0,4,25
7,3,2
0,3,3
7,3,10
0,4,2
0,4,12
7,4,5
7,4,2
0,3,2
7,3,8
0,3,2
7,3,2
0,3,23
0,4,9
7,3,3
7,3,2
0,4,3
7,3,2
7,4,6
7,4,3
7,4,15
7,3,3
7,4,2
0,4,7
0,3,2
0,3,10
0,3,4
7,4,8
0,4,2
7,3,6
0,3,5
0,4,4
0,4,3
7,4,2
0,4,1
