source,destination,holding_time
7,4,40
7,4,45
0,4,37
0,4,3
0,3,2
0,4,9
7,3,14
7,4,4
7,4,8
7,4,53
0,3,2
7,4,3
0,4,2
0,4,3
0,3,3
0,3,11
7,3,50
7,4,2
0,4,4
7,3,14
7,4,2
7,4,79
7,4,70
7,3,3
7,3,69
7,4,21
0,3,8
0,3,4
0,4,2
0,4,19
7,3,2
7,4,19
7,4,37
0,3,8
7,4,25
7,3,52
7,3,9
0,4,2
0,3,2
0,3,61
7,4,19
0,3,9
7,4,2
7,4,3
0,4,2
7,4,5
7,3,5
7,4,7
0,4,52
0,3,3
0,3,29
0,4,11
0,3,3
7,4,2
7,4,46
7,4,15
7,4,44
7,3,24
7,3,40
0,4,5
0,3,2
7,4,2
0,3,2
7,4,3
7,4,2
0,3,15
7,4,14
0,3,14
7,3,5
0,3,31
0,3,11
0,3,29
7,3,13
0,4,2
7,3,4
7,3,25
0,4,3
0,4,2
7,4,5
0,3,21
0,4,20
7,4,2
7,3,18
7,3,3
0,4,3
0,3,15
0,4,2
0,4,13
0,3,7
7,4,11
0,4,10
0,4,9
0,4,8
7,4,7
7,3,6
7,3,3
0,3,4
0,3,2
7,3,2
7,3,1
