source,destination,holding_time
0,4,4
0,4,11
7,3,4
7,3,97
7,3,29
7,4,7
7,3,2
7,3,93
0,3,2
0,4,5
0,4,2
7,3,4
7,4,2
7,4,2
0,4,2
7,4,6
7,4,2
7,3,21
7,4,2
0,3,3
0,3,2
7,3,2
7,3,2
0,4,2
7,4,2
0,4,2
0,4,2
7,3,3
7,3,2
0,3,2
0,4,2
0,3,10
7,4,52
0,3,4
7,4,2
7,4,7
0,4,7
0,3,3
7,4,5
7,3,3
7,4,5
7,4,2
0,3,4
0,3,6
0,3,4
7,3,2
7,4,6
0,3,9
7,3,3
0,4,4
7,3,4
0,4,3
0,4,5
7,3,31
0,3,2
0,3,2
0,3,3
7,4,42
7,3,4
7,4,5
0,4,22
7,3,2
0,3,3
7,3,2
7,3,13
7,3,4
7,4,3
7,4,2
0,4,7
7,3,2
7,4,9
7,3,5
0,3,4
0,3,2
0,4,26
7,3,2
7,3,2
0,3,3
7,4,2
0,3,2
0,3,20
0,4,4
0,3,18
7,4,2
7,3,2
7,3,2
7,4,5
7,3,13
0,4,2
0,4,4
7,3,3
7,3,4
0,4,2
7,4,2
0,4,3
7,3,2
0,3,4
7,4,3
7,4,2
0,3,1
