source,destination,holding_time
0,4,3
0,3,48
7,4,30
7,3,11
7,4,42
7,4,66
0,3,42
0,4,20
0,3,74
7,4,2
0,4,90
0,3,9
0,3,88
7,4,6
7,3,69
0,3,15
7,4,55
0,3,38
7,3,6
7,4,2
0,3,80
0,3,26
0,3,15
7,3,21
0,4,4
0,4,3
7,3,40
7,3,2
0,4,72
0,3,18
7,3,33
0,3,11
0,3,26
0,3,44
7,4,25
0,4,2
7,3,5
7,4,2
7,4,2
0,3,12
0,3,24
0,3,59
7,4,17
0,4,57
7,4,2
0,3,3
0,3,46
7,3,3
7,4,11
7,4,23
0,3,10
7,4,41
0,3,7
0,3,19
7,3,2
0,4,3
7,4,2
7,4,23
7,3,42
0,4,6
7,4,7
0,4,14
7,3,15
0,3,3
7,3,11
7,3,21
7,4,6
7,4,9
0,3,19
0,4,14
7,3,30
0,4,29
0,3,28
7,3,27
7,4,3
0,3,2
0,3,13
7,3,20
0,3,6
0,4,8
7,4,7
0,3,19
0,4,18
7,4,17
7,3,9
0,4,5
7,4,14
0,3,13
0,4,12
7,4,7
7,4,10
0,4,9
0,3,8
7,3,7
7,4,6
0,4,5
7,4,4
0,3,2
7,4,2
7,3,1
