source,destination,holding_time
7,3,7
0,4,11
7,3,77
0,4,5
0,3,45
7,3,37
7,4,71
7,3,47
7,4,3
7,4,2
0,3,24
7,4,20
0,3,4
0,3,83
0,4,70
7,3,74
0,3,3
7,4,80
7,4,25
7,4,8
0,3,6
0,4,9
7,3,53
7,3,12
0,3,17
7,3,2
7,4,48
0,4,14
7,4,33
0,4,71
0,4,57
7,3,13
0,4,6
7,3,55
7,4,6
0,3,35
0,3,18
7,3,3
0,4,6
0,4,3
0,3,60
7,3,19
7,3,13
7,4,2
7,4,4
7,4,29
7,3,6
0,3,53
0,3,30
7,4,51
0,4,4
0,3,31
7,3,3
0,4,47
0,4,46
7,3,13
7,4,44
0,3,43
0,4,30
0,4,41
0,4,32
7,3,2
0,4,22
0,4,37
0,4,12
7,3,3
0,4,34
0,3,18
0,3,2
7,4,25
7,3,30
0,4,17
7,4,8
7,3,17
0,4,25
7,3,3
0,4,24
7,4,6
0,3,22
0,4,21
0,3,20
0,3,2
0,3,18
0,4,6
7,3,16
0,3,3
7,4,2
7,4,2
7,3,12
7,3,11
0,4,7
0,3,2
0,3,8
7,4,2
7,4,6
0,4,5
0,4,4
0,4,3
0,4,2
7,4,1
