source,destination,holding_time
0,4,19
0,3,8
0,4,15
0,4,64
7,3,35
0,3,3
7,4,7
7,3,2
7,4,3
7,3,45
7,3,17
7,4,43
0,4,21
0,4,7
7,4,86
7,4,53
0,3,51
0,3,28
7,4,3
7,3,4
7,3,6
0,3,15
7,3,2
0,4,77
0,4,12
0,4,75
7,3,74
7,3,50
7,4,4
0,4,28
0,4,26
7,3,37
0,4,6
7,3,60
0,3,42
7,3,7
7,3,60
7,4,42
7,3,10
7,4,59
7,3,2
7,3,50
7,3,18
0,4,57
0,3,34
0,4,55
0,4,6
0,3,42
0,4,52
0,4,5
7,3,7
7,3,25
7,3,38
7,3,47
7,3,6
7,3,45
7,4,44
0,3,3
0,3,22
0,4,41
0,4,39
0,3,39
0,3,10
7,3,9
0,3,3
0,3,6
0,3,18
7,3,33
0,4,18
0,4,2
0,3,19
0,3,29
7,3,28
7,3,27
0,4,6
0,3,4
7,3,4
7,3,23
7,3,7
0,4,21
7,3,20
7,3,13
0,3,18
7,3,3
0,4,10
7,4,15
0,4,14
0,3,13
0,4,12
7,4,11
0,3,10
7,3,2
0,3,8
0,4,3
7,4,6
7,4,3
0,3,4
0,3,2
0,4,2
0,4,1
