source,destination,holding_time
7,3,33
0,3,89
0,4,3
0,3,24
7,4,23
0,4,17
0,4,81
0,3,24
7,3,3
7,4,2
7,4,46
7,3,89
0,3,12
0,4,2
0,4,52
7,3,4
0,4,9
7,3,37
0,4,64
0,3,13
7,3,20
7,3,79
0,3,2
0,4,3
7,3,56
7,4,3
7,4,11
0,4,2
0,4,6
7,4,2
0,3,3
0,3,2
0,4,4
0,4,25
7,3,2
7,3,8
0,3,4
0,3,2
7,4,2
7,4,61
7,3,4
0,4,32
7,3,11
0,3,2
0,3,8
7,3,14
0,3,54
0,3,9
0,3,52
7,3,4
7,4,7
7,4,12
0,4,48
7,4,33
7,3,5
7,3,45
7,4,44
0,3,3
7,4,42
7,4,16
0,4,5
7,3,14
0,4,4
0,3,25
0,3,36
0,4,5
0,3,4
7,4,2
7,4,7
7,4,2
7,3,2
7,3,29
7,3,3
7,3,6
0,3,2
0,4,3
0,3,3
7,3,6
0,4,22
7,4,8
7,4,20
0,4,7
7,3,2
0,3,10
7,4,12
0,3,7
0,4,2
7,4,3
7,4,3
7,3,7
7,3,10
0,4,2
7,3,8
0,4,2
7,3,5
0,4,5
0,4,4
7,3,3
0,3,2
7,3,1
