source,destination,holding_time
7,4,2
7,4,4
0,3,2
0,4,2
7,3,2
7,3,6
0,3,3
7,3,12
7,4,4
7,4,2
7,4,29
0,4,4
7,3,2
7,4,3
0,3,4
7,3,3
0,4,2
0,4,2
7,3,6
7,3,7
0,3,2
0,4,2
0,3,7
7,4,2
0,3,2
0,3,9
0,4,74
7,3,5
7,4,3
0,4,9
7,3,13
0,3,2
7,3,6
7,3,2
0,4,3
0,3,4
7,3,2
0,3,5
7,4,2
7,3,2
7,4,4
7,3,2
0,4,6
7,4,57
0,4,21
7,3,2
7,3,11
0,4,3
0,3,3
7,4,2
7,3,2
0,3,22
0,4,2
0,4,2
7,3,4
0,4,45
0,4,3
7,3,2
7,4,2
0,3,2
0,4,2
7,3,2
7,3,3
7,3,5
0,3,5
0,3,16
0,3,2
0,3,33
0,3,3
7,4,3
0,3,21
7,3,2
7,4,7
0,3,3
7,3,4
7,3,4
0,4,6
0,4,15
7,4,7
0,3,2
0,3,11
7,4,11
7,4,4
7,3,3
7,4,4
7,4,9
7,4,3
0,3,7
0,4,3
0,4,11
0,4,5
0,3,2
0,3,3
7,3,2
0,4,3
0,4,5
7,3,2
7,4,3
7,3,2
0,3,1
