source,destination,holding_time
7,3,44
7,4,33
0,3,10
0,3,7
7,3,21
0,4,61
0,4,48
0,3,26
0,3,23
0,3,5
0,4,63
0,4,26
7,3,3
0,4,87
0,3,7
7,3,71
7,4,38
7,4,8
7,3,29
7,3,10
7,3,48
0,3,61
7,3,4
0,3,15
7,4,74
0,3,9
0,3,50
0,3,37
0,4,17
0,4,51
0,4,2
7,4,11
7,4,12
7,4,2
0,4,3
7,4,60
7,3,6
7,3,10
0,3,32
7,4,44
0,4,2
0,4,59
7,4,41
7,4,45
0,4,7
7,4,55
7,3,20
0,4,53
7,3,46
7,4,12
0,4,21
7,3,49
0,4,16
7,3,11
7,4,46
7,4,45
0,4,7
0,3,43
7,4,2
7,3,39
0,3,40
0,4,39
0,3,38
0,3,11
7,4,7
0,3,21
7,3,11
0,3,33
0,3,32
7,3,3
7,4,14
0,4,29
7,4,28
0,3,19
7,3,2
7,3,14
7,4,24
0,3,23
7,4,22
7,3,4
0,4,5
7,3,2
7,4,18
0,3,7
0,4,3
7,4,15
0,4,14
7,3,13
7,3,6
7,3,11
0,4,10
0,4,9
7,4,8
0,4,7
7,3,2
0,3,5
0,4,2
7,3,3
0,3,2
7,4,1
